created_date,agency,complaint_type,descriptor,resolution_description,resolution_date,sentiment_label,urgency_score
2025-02-28T21:32:39.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department reviewed your complaint and provided additional information below.,2025-02-28T21:32:39.000,Frustrated,4
2025-07-28T22:43:48.000,NYPD,Illegal Parking,Posted Parking Sign Violation,The Police Department responded to the complaint and took action to fix the condition.,2025-07-28T22:43:48.000,Neutral,2
2025-02-28T22:10:20.000,NYPD,Abandoned Vehicle,With License Plate,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-02-28T22:10:20.000,Neutral,2
2025-10-28T23:35:32.000,HPD,OUTSIDE BUILDING,ROOFING,"HPD attempted to conduct an inspection in response to this complaint, but was unable to complete the inspection. Please submit a new service request with 311 if the condition still exists. For more information on the reason why HPD was unable to inspect, contact HPD at the Tenant Information Messaging Service at 212-863-4951.",2025-10-28T23:35:32.000,Neutral,2
2025-01-28T22:55:57.000,DOT,Street Condition,Pothole,The Department of Transportation inspected this complaint and repaired the problem.,2025-01-28T22:55:57.000,Neutral,2
2025-10-28T22:21:05.000,NYPD,Illegal Parking,Blocked Hydrant,The Police Department responded to the complaint and took action to fix the condition.,2025-10-28T22:21:05.000,Neutral,3
2025-06-28T23:41:25.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-06-28T23:41:25.000,Frustrated,2
2025-09-28T22:46:25.000,HPD,APPLIANCE,ELECTRIC/GAS RANGE,"HPD attempted to conduct an inspection in response to this complaint, but was unable to complete the inspection. Please submit a new service request with 311 if the condition still exists. For more information on the reason why HPD was unable to inspect, contact HPD at the Tenant Information Messaging Service at 212-863-4951.",2025-09-28T22:46:25.000,Neutral,2
2025-03-28T23:32:09.000,NYPD,Illegal Parking,Commercial Overnight Parking,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-03-28T23:32:09.000,Neutral,1
2025-05-28T21:59:00.000,DEP,Sewer,Sewer Backup (Use Comments) (SA),The Department of Environmental Protection investigated this complaint and found there was no sewer back up in the city system at the time of the inspection.,2025-05-28T21:59:00.000,Neutral,1
