created_date,agency,complaint_type,descriptor,resolution_description
2025-02-28T21:32:39.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department reviewed your complaint and provided additional information below.
2025-07-28T22:43:48.000,NYPD,Illegal Parking,Posted Parking Sign Violation,The Police Department responded to the complaint and took action to fix the condition.
2025-02-28T22:10:20.000,NYPD,Abandoned Vehicle,With License Plate,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-10-28T23:35:32.000,HPD,OUTSIDE BUILDING,ROOFING,"HPD attempted to conduct an inspection in response to this complaint, but was unable to complete the inspection. Please submit a new service request with 311 if the condition still exists. For more information on the reason why HPD was unable to inspect, contact HPD at the Tenant Information Messaging Service at 212-863-4951."
2025-01-28T22:55:57.000,DOT,Street Condition,Pothole,The Department of Transportation inspected this complaint and repaired the problem.
2025-10-28T22:21:05.000,NYPD,Illegal Parking,Blocked Hydrant,The Police Department responded to the complaint and took action to fix the condition.
2025-06-28T23:41:25.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-09-28T22:46:25.000,HPD,APPLIANCE,ELECTRIC/GAS RANGE,"HPD attempted to conduct an inspection in response to this complaint, but was unable to complete the inspection. Please submit a new service request with 311 if the condition still exists. For more information on the reason why HPD was unable to inspect, contact HPD at the Tenant Information Messaging Service at 212-863-4951."
2025-03-28T23:32:09.000,NYPD,Illegal Parking,Commercial Overnight Parking,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-05-28T21:59:00.000,DEP,Sewer,Sewer Backup (Use Comments) (SA),The Department of Environmental Protection investigated this complaint and found there was no sewer back up in the city system at the time of the inspection.
2025-04-28T22:41:38.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.
2025-02-28T22:53:16.000,NYPD,Abandoned Vehicle,With License Plate,The Police Department responded to the complaint and took action to fix the condition.
2025-01-28T22:42:10.000,NYPD,Illegal Fireworks,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-02-28T23:32:56.000,DOT,Bus Stop Shelter Complaint,Lighting,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field."
2025-06-28T23:44:37.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department reviewed your complaint and provided additional information below.
2025-09-28T23:35:28.000,NYPD,Illegal Parking,Blocked Hydrant,The Police Department responded and upon arrival those responsible for the condition were gone.
2025-01-28T22:47:10.000,DHS,Encampment,,The Department of Homeless Services (DHS) visited the location and is coordinating with their agency partners to address the condition. No further information will be available with 311.
2025-08-28T23:52:29.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.
2025-03-28T22:56:53.000,NYPD,Illegal Parking,Parking Permit Improper Use,The Police Department responded and upon arrival those responsible for the condition were gone.
2025-02-28T21:51:32.000,NYPD,Noise - Residential,Banging/Pounding,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-11-28T22:42:53.000,NYPD,Noise - Residential,Loud Music/Party,"The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention."
